time,y_scalar,y_gain
5.98,-0.3080905587,-0.6161811174
5.99,-0.2985617425,-0.597123485
6,-0.2890030704,-0.5780061408
6.01,-0.2794154982,-0.5588309964
6.02,-0.2697999847,-0.5395999694
6.03,-0.2601574914,-0.5203149828
6.04,-0.2504889826,-0.5009779652
6.05,-0.2407954251,-0.4815908502
6.06,-0.2310777883,-0.4621555766
6.07,-0.2213370439,-0.4426740878
6.08,-0.2115741659,-0.4231483318
6.09,-0.2017901308,-0.4035802616
6.1,-0.1919859167,-0.3839718334
6.11,-0.1821625043,-0.3643250086
6.12,-0.1723208757,-0.3446417514
6.13,-0.1624620152,-0.3249240304
6.14,-0.1525869086,-0.3051738172
6.15,-0.1426965435,-0.285393087
6.16,-0.1327919089,-0.2655838178
6.17,-0.1228739951,-0.2457479902
6.18,-0.1129437941,-0.2258875882
6.19,-0.1030022987,-0.2060045974
6.2,-0.09305050326,-0.1861010065
6.21,-0.08308940282,-0.1661788056
6.22,-0.0731199935,-0.146239987
6.23,-0.06314327225,-0.1262865445
6.24,-0.05316023672,-0.1063204734
6.25,-0.04317188521,-0.08634377042
6.26,-0.03317921655,-0.0663584331
6.27,-0.02318322999,-0.04636645998
6.28,-0.01318492513,-0.02636985026
6.29,-0.003185301793,-0.006370603586
6.3,0.006814640075,0.01362928015
6.31,0.01681390048,0.03362780096
6.32,0.02681147952,0.05362295904
6.33,0.03680637743,0.07361275486
6.34,0.04679759473,0.09359518946
6.35,0.05678413231,0.1135682646
6.36,0.06676499152,0.133529983
6.37,0.07673917429,0.1534783486
6.38,0.08670568321,0.1734113664
6.39,0.09666352163,0.1933270433
6.4,0.1066116938,0.2132233876
6.41,0.1165492049,0.2330984098
6.42,0.1264750611,0.2529501222
6.43,0.1363882699,0.2727765398
6.44,0.1462878401,0.2925756802
6.45,0.1561727815,0.312345563
6.46,0.1660421059,0.3320842118
6.47,0.1758948261,0.3517896522
6.48,0.185729957,0.371459914
6.49,0.1955465151,0.3910930302
6.5,0.2053435187,0.4106870374
6.51,0.2151199881,0.4302399762
6.52,0.2248749457,0.4497498914
6.53,0.2346074159,0.4692148318
6.54,0.2443164257,0.4886328514
6.55,0.254001004,0.508002008
6.56,0.2636601824,0.5273203648
6.57,0.273292995,0.54658599
6.58,0.2828984785,0.565796957
6.59,0.2924756724,0.5849513448
6.6,0.302023619,0.604047238
6.61,0.3115413635,0.623082727
6.62,0.3210279541,0.6420559082
6.63,0.3304824422,0.6609648844
6.64,0.3399038823,0.6798077646
6.65,0.3492913323,0.6985826646
6.66,0.3586438535,0.717287707
6.67,0.3679605106,0.7359210212
6.68,0.3772403719,0.7544807438
6.69,0.3864825095,0.772965019
6.7,0.3956859992,0.7913719984
6.71,0.4048499206,0.8096998412
6.72,0.4139733574,0.8279467148
6.73,0.4230553971,0.8461107942
6.74,0.4320951317,0.8641902634
6.75,0.4410916572,0.8821833144
6.76,0.4500440738,0.9000881476
6.77,0.4589514864,0.9179029728
6.78,0.4678130042,0.9356260084
6.79,0.4766277411,0.9532554822
6.8,0.4853948157,0.9707896314
6.81,0.4941133511,0.9882267022
6.82,0.5027824757,1.005564951
6.83,0.5114013224,1.022802645
6.84,0.5199690294,1.039938059
6.85,0.5284847399,1.05696948
6.86,0.5369476024,1.073895205
6.87,0.5453567706,1.090713541
6.88,0.5537114036,1.107422807
6.89,0.5620106659,1.124021332
6.9,0.5702537276,1.140507455
6.91,0.5784397644,1.156879529
6.92,0.5865679577,1.173135915
6.93,0.5946374947,1.189274989
6.94,0.6026475684,1.205295137
6.95,0.6105973779,1.221194756
6.96,0.6184861282,1.236972256
6.97,0.6263130303,1.252626061
6.98,0.6340773017,1.268154603
6.99,0.6417781659,1.283556332
7,0.6494148528,1.298829706
7.01,0.6569865987,1.313973197
7.02,0.6644926466,1.328985293
7.03,0.6719322457,1.343864491
7.04,0.6793046521,1.358609304
7.05,0.6866091287,1.373218257
7.06,0.6938449449,1.38768989
7.07,0.7010113772,1.402022754
7.08,0.708107709,1.416215418
7.09,0.7151332306,1.430266461
7.1,0.7220872394,1.444174479
7.11,0.7289690401,1.45793808
7.12,0.7357779446,1.471555889
7.13,0.7425132718,1.485026544
7.14,0.7491743483,1.498348697
7.15,0.7557605081,1.511521016
7.16,0.7622710924,1.524542185
7.17,0.7687054502,1.5374109
7.18,0.7750629381,1.550125876
7.19,0.7813429204,1.562685841
7.2,0.787544769,1.575089538
7.21,0.7936678638,1.587335728
7.22,0.7997115925,1.599423185
7.23,0.8056753507,1.611350701
7.24,0.8115585421,1.623117084
7.25,0.8173605782,1.634721156
7.26,0.823080879,1.646161758
7.27,0.8287188724,1.657437745
7.28,0.8342739946,1.668547989
7.29,0.83974569,1.67949138
7.3,0.8451334117,1.690266823
7.31,0.8504366206,1.700873241
7.32,0.8556547866,1.711309573
7.33,0.8607873879,1.721574776
7.34,0.8658339111,1.731667822
7.35,0.8707938517,1.741587703
7.36,0.8756667136,1.751333427
7.37,0.8804520096,1.760904019
7.38,0.885149261,1.770298522
7.39,0.8897579984,1.779515997
7.4,0.8942777606,1.788555521
7.41,0.8987080958,1.797416192
7.42,0.903048561,1.806097122
7.43,0.907298722,1.814597444
7.44,0.911458154,1.822916308
7.45,0.9155264408,1.831052882
7.46,0.9195031758,1.839006352
7.47,0.9233879613,1.846775923
7.48,0.9271804087,1.854360817
7.49,0.9308801388,1.861760278
7.5,0.9344867818,1.868973564
7.51,0.9379999768,1.875999954
7.52,0.9414193726,1.882838745
7.53,0.9447446272,1.889489254
7.54,0.9479754082,1.895950816
7.55,0.9511113924,1.902222785
7.56,0.9541522663,1.908304533
7.57,0.9570977257,1.914195451
7.58,0.9599474762,1.919894952
7.59,0.9627012327,1.925402465
7.6,0.9653587199,1.93071744
7.61,0.967919672,1.935839344
7.62,0.970383833,1.940767666
7.63,0.9727509564,1.945501913
7.64,0.9750208055,1.950041611
7.65,0.9771931533,1.954386307
7.66,0.9792677827,1.958535565
7.67,0.9812444861,1.962488972
7.68,0.9831230658,1.966246132
7.69,0.9849033341,1.969806668
7.7,0.9865851128,1.973170226
7.71,0.9881682339,1.976336468
7.72,0.9896525389,1.979305078
