time,x,u
3.63,0.1788022682,0.1332508773
3.64,0.1783490243,0.1332508773
3.65,0.1779002903,0.1332508773
3.66,0.1774560212,0.1332508773
3.67,0.1770161727,0.1332508773
3.68,0.1765807007,0.1332508773
3.69,0.1761495617,0.1332508773
3.7,0.1757227127,0.1332508773
3.71,0.1752896089,0.1321954131
3.72,0.1748608144,0.1321954131
3.73,0.1744362866,0.1321954131
3.74,0.1740159829,0.1321954131
3.75,0.1735998613,0.1321954131
3.76,0.1731878801,0.1321954131
3.77,0.1727799983,0.1321954131
3.78,0.1723761749,0.1321954131
3.79,0.1719763696,0.1321954131
3.8,0.1715805425,0.1321954131
3.81,0.1711789196,0.1312171072
3.82,0.170781293,0.1312171072
3.83,0.1703876227,0.1312171072
3.84,0.1699978696,0.1312171072
3.85,0.1696119946,0.1312171072
3.86,0.169229959,0.1312171072
3.87,0.1688517248,0.1312171072
3.88,0.1684772541,0.1312171072
3.89,0.1681065095,0.1312171072
3.9,0.1677394538,0.1312171072
3.91,0.1673670276,0.1303103119
3.92,0.1669983072,0.1303103119
3.93,0.1666332555,0.1303103119
3.94,0.1662718362,0.1303103119
3.95,0.165914013,0.1303103119
3.96,0.1655597503,0.1303103119
3.97,0.1652090125,0.1303103119
3.98,0.1648617646,0.1303103119
3.99,0.1645179719,0.1303103119
4,0.1641776,0.1303103119
4.01,0.1638322503,0.1294696629
4.02,0.1634903368,0.1294696629
4.03,0.1631518255,0.1294696629
4.04,0.1628166824,0.1294696629
4.05,0.162484874,0.1294696629
4.06,0.1621563671,0.1294696629
4.07,0.161831129,0.1294696629
4.08,0.161509127,0.1294696629
4.09,0.161190329,0.1294696629
4.1,0.1608747031,0.1294696629
4.11,0.1605544633,0.1286903322
4.12,0.1602374099,0.1286903322
4.13,0.1599235112,0.1286903322
4.14,0.1596127359,0.1286903322
4.15,0.1593050529,0.1286903322
4.16,0.1590004313,0.1286903322
4.17,0.1586988408,0.1286903322
4.18,0.1584002511,0.1286903322
4.19,0.1581046325,0.1286903322
4.2,0.1578119553,0.1286903322
4.21,0.1575150012,0.1279678196
4.22,0.1572210018,0.1279678196
4.23,0.1569299278,0.1279678196
4.24,0.15664175,0.1279678196
4.25,0.1563564397,0.1279678196
4.26,0.1560739682,0.1279678196
4.27,0.1557943073,0.1279678196
4.28,0.1555174291,0.1279678196
4.29,0.1552433059,0.1279678196
4.3,0.1549719103,0.1279678196
4.31,0.15469655,0.1272979677
4.32,0.1544239296,0.1272979677
4.33,0.1541540217,0.1272979677
4.34,0.1538867995,0.1272979677
4.35,0.1536222362,0.1272979677
4.36,0.1533603054,0.1272979677
4.37,0.1531009808,0.1272979677
4.38,0.1528442365,0.1272979677
4.39,0.1525900469,0.1272979677
4.4,0.1523383865,0.1272979677
4.41,0.15208305,0.1266768575
4.42,0.1518302542,0.1266768575
4.43,0.1515799737,0.1266768575
4.44,0.1513321836,0.1266768575
4.45,0.151086859,0.1266768575
4.46,0.1508439754,0.1266768575
4.47,0.1506035086,0.1266768575
4.48,0.1503654344,0.1266768575
4.49,0.1501297291,0.1266768575
4.5,0.1498963692,0.1266768575
4.51,0.1496596012,0.1261009872
4.52,0.149425189,0.1261009872
4.53,0.1491931093,0.1261009872
4.54,0.1489633389,0.1261009872
4.55,0.1487358547,0.1261009872
4.56,0.148510634,0.1261009872
4.57,0.1482876543,0.1261009872
4.58,0.1480668933,0.1261009872
4.59,0.1478483288,0.1261009872
4.6,0.1476319392,0.1261009872
4.61,0.1474123897,0.1255670339
4.62,0.1471950248,0.1255670339
4.63,0.1469798227,0.1255670339
4.64,0.1467667619,0.1255670339
4.65,0.1465558211,0.1255670339
4.66,0.1463469791,0.1255670339
4.67,0.1461402152,0.1255670339
4.68,0.1459355087,0.1255670339
4.69,0.1457328389,0.1255670339
4.7,0.1455321858,0.1255670339
4.71,0.1453286027,0.125071913
4.72,0.1451270453,0.125071913
4.73,0.1449274934,0.125071913
4.74,0.1447299271,0.125071913
4.75,0.1445343266,0.125071913
4.76,0.1443406723,0.125071913
4.77,0.144148945,0.125071913
4.78,0.1439591253,0.125071913
4.79,0.1437711944,0.125071913
4.8,0.1435851335,0.125071913
4.81,0.1433963558,0.1246128231
4.82,0.1432094566,0.1246128231
4.83,0.143024417,0.1246128231
4.84,0.1428412185,0.1246128231
4.85,0.142659843,0.1246128231
4.86,0.1424802721,0.1246128231
4.87,0.142302488,0.1246128231
4.88,0.1421264729,0.1246128231
4.89,0.1419522092,0.1246128231
4.9,0.1417796794,0.1246128231
4.91,0.1416046304,0.1241871044
4.92,0.1414313231,0.1241871044
4.93,0.1412597403,0.1241871044
4.94,0.1410898647,0.1241871044
4.95,0.1409216794,0.1241871044
4.96,0.1407551676,0.1241871044
4.97,0.1405903127,0.1241871044
4.98,0.140427098,0.1241871044
4.99,0.1402655074,0.1241871044
5,0.1401055246,0.1241871044
5.01,0.139943206,0.1237923652
5.02,0.1397825024,0.1237923652
5.03,0.1396233979,0.1237923652
5.04,0.1394658765,0.1237923652
5.05,0.1393099224,0.1237923652
5.06,0.1391555202,0.1237923652
5.07,0.1390026542,0.1237923652
5.08,0.1388513093,0.1237923652
5.09,0.1387014703,0.1237923652
5.1,0.1385531222,0.1237923652
5.11,0.138402608,0.1234263107
5.12,0.1382535913,0.1234263107
5.13,0.1381060574,0.1234263107
5.14,0.1379599915,0.1234263107
5.15,0.1378153789,0.1234263107
5.16,0.1376722053,0.1234263107
5.17,0.1375304563,0.1234263107
5.18,0.1373901177,0.1234263107
5.19,0.1372511755,0.1234263107
5.2,0.1371136158,0.1234263107
5.21,0.1369740474,0.1230868772
5.22,0.1368358678,0.1230868772
5.23,0.136699063,0.1230868772
5.24,0.1365636195,0.1230868772
5.25,0.1364295237,0.1230868772
5.26,0.1362967622,0.1230868772
5.27,0.1361653216,0.1230868772
5.28,0.1360351889,0.1230868772
5.29,0.1359063511,0.1230868772
5.3,0.1357787952,0.1230868772
5.31,0.1356493765,0.1227721125
5.32,0.1355212456,0.1227721125
5.33,0.1353943896,0.1227721125
5.34,0.1352687959,0.1227721125
5.35,0.1351444518,0.1227721125
5.36,0.1350213449,0.1227721125
5.37,0.134899463,0.1227721125
5.38,0.1347787939,0.1227721125
5.39,0.1346593254,0.1227721125
5.4,0.1345410457,0.1227721125
5.41,0.1344210387,0.1224802434
5.42,0.1343022258,0.1224802434
5.43,0.1341845951,0.1224802434
5.44,0.1340681349,0.1224802434
5.45,0.1339528334,0.1224802434
5.46,0.1338386792,0.1224802434
5.47,0.1337256609,0.1224802434
5.48,0.1336137671,0.1224802434
5.49,0.1335029867,0.1224802434
5.5,0.1333933086,0.1224802434
5.51,0.1332820286,0.1222095788
5.52,0.1331718559,0.1222095788
5.53,0.1330627794,0.1222095788
5.54,0.1329547883,0.1222095788
5.55,0.1328478717,0.1222095788
5.56,0.1327420189,0.1222095788
5.57,0.1326372194,0.1222095788
5.58,0.1325334626,0.1222095788
5.59,0.1324307382,0.1222095788
5.6,0.132329036,0.1222095788
5.61,0.1322258483,0.1219585836
5.62,0.1321236873,0.1219585836
5.63,0.1320225428,0.1219585836
5.64,0.1319224048,0.1219585836
5.65,0.1318232631,0.1219585836
5.66,0.1317251079,0.1219585836
5.67,0.1316279293,0.1219585836
5.68,0.1315317178,0.1219585836
5.69,0.1314364635,0.1219585836
5.7,0.131342157,0.1219585836
5.71,0.131246473,0.1217258349
5.72,0.1311517411,0.1217258349
5.73,0.1310579517,0.1217258349
5.74,0.1309650956,0.1217258349
5.75,0.1308731634,0.1217258349
5.76,0.130782146,0.1217258349
5.77,0.1306920342,0.1217258349
5.78,0.130602819,0.1217258349
5.79,0.1305144916,0.1217258349
5.8,0.130427043,0.1217258349
5.81,0.1303383172,0.1215100288
5.82,0.1302504743,0.1215100288
5.83,0.1301635054,0.1215100288
5.84,0.1300774019,0.1215100288
5.85,0.1299921551,0.1215100288
5.86,0.1299077565,0.1215100288
5.87,0.1298241977,0.1215100288
5.88,0.1297414704,0.1215100288
5.89,0.1296595661,0.1215100288
5.9,0.1295784769,0.1215100288
5.91,0.1294962031,0.1213098913
5.92,0.1294147479,0.1213098913
5.93,0.1293341033,0.1213098913
5.94,0.129254261,0.1213098913
5.95,0.1291752132,0.1213098913
5.96,0.129096952,0.1213098913
5.97,0.1290194694,0.1213098913
5.98,0.1289427578,0.1213098913
5.99,0.1288668095,0.1213098913
6,0.128791617,0.1213098913
6.01,0.1287153258,0.1211242899
6.02,0.1286397937,0.1211242899
6.03,0.1285650132,0.1211242899
6.04,0.1284909768,0.1211242899
6.05,0.128417677,0.1211242899
6.06,0.1283451066,0.1211242899
6.07,0.1282732583,0.1211242899
6.08,0.1282021249,0.1211242899
6.09,0.1281316992,0.1211242899
6.1,0.1280619743,0.1211242899
6.11,0.1279912309,0.1209521964
6.12,0.1279211913,0.1209521964
6.13,0.1278518487,0.1209521964
6.14,0.127783196,0.1209521964
6.15,0.1277152264,0.1209521964
6.16,0.1276479331,0.1209521964
6.17,0.1275813094,0.1209521964
6.18,0.1275153486,0.1209521964
6.19,0.1274500442,0.1209521964
6.2,0.1273853895,0.1209521964
6.21,0.1273197904,0.1207926199
6.22,0.127254844,0.1207926199
6.23,0.1271905437,0.1207926199
6.24,0.1271268833,0.1207926199
6.25,0.1270638564,0.1207926199
6.26,0.1270014565,0.1207926199
6.27,0.1269396776,0.1207926199
6.28,0.1268785133,0.1207926199
6.29,0.1268179577,0.1207926199
6.3,0.1267580046,0.1207926199
6.31,0.1266971752,0.1206445992
6.32,0.126636951,0.1206445992
6.33,0.1265773261,0.1206445992
6.34,0.1265182945,0.1206445992
6.35,0.1264598503,0.1206445992
6.36,0.1264019876,0.1206445992
6.37,0.1263447006,0.1206445992
6.38,0.1262879836,0.1206445992
6.39,0.126231831,0.1206445992
6.4,0.1261762371,0.1206445992
6.41,0.126119831,0.1205073744
6.42,0.1260639861,0.1205073744
6.43,0.1260086969,0.1205073744
6.44,0.1259539579,0.1205073744
6.45,0.1258997634,0.1205073744
6.46,0.1258461083,0.1205073744
6.47,0.125792987,0.1205073744
6.48,0.1257403943,0.1205073744
6.49,0.1256883248,0.1205073744
6.5,0.1256367735,0.1205073744
6.51,0.1255844689,0.120380111
6.52,0.1255326847,0.120380111
6.53,0.1254814157,0.120380111
6.54,0.1254306569,0.120380111
6.55,0.1253804031,0.120380111
6.56,0.1253306494,0.120380111
6.57,0.1252813907,0.120380111
6.58,0.1252326221,0.120380111
6.59,0.1251843388,0.120380111
6.6,0.125136536,0.120380111
6.61,0.1250880346,0.1202621087
6.62,0.1250400159,0.1202621087
6.63,0.1249924749,0.1202621087
6.64,0.124945407,0.1202621087
6.65,0.1248988074,0.1202621087
6.66,0.1248526714,0.1202621087
6.67,0.1248069946,0.1202621087
6.68,0.1247617722,0.1202621087
6.69,0.1247169998,0.1202621087
6.7,0.1246726729,0.1202621087
6.71,0.1246276983,0.1201526821
6.72,0.1245831711,0.1201526821
6.73,0.124539087,0.1201526821
6.74,0.1244954415,0.1201526821
6.75,0.1244522304,0.1201526821
6.76,0.1244094491,0.1201526821
6.77,0.1243670936,0.1201526821
6.78,0.1243251595,0.1201526821
6.79,0.1242836427,0.1201526821
6.8,0.1242425389,0.1201526821
6.81,0.1242008343,0.1200511903
6.82,0.1241595447,0.1200511903
6.83,0.1241186659,0.1200511903
6.84,0.1240781938,0.1200511903
6.85,0.1240381244,0.1200511903
6.86,0.1239984538,0.1200511903
6.87,0.1239591779,0.1200511903
6.88,0.1239202927,0.1200511903
6.89,0.1238817945,0.1200511903
6.9,0.1238436794,0.1200511903
6.91,0.1238050071,0.119957082
6.92,0.1237667196,0.119957082
6.93,0.1237288131,0.119957082
6.94,0.1236912837,0.119957082
6.95,0.1236541278,0.119957082
6.96,0.1236173416,0.119957082
6.97,0.1235809214,0.119957082
6.98,0.1235448636,0.119957082
6.99,0.1235091645,0.119957082
7,0.1234738207,0.119957082
7.01,0.1234379605,0.1198698357
7.02,0.1234024571,0.1198698357
7.03,0.1233673069,0.1198698357
7.04,0.1233325065,0.1198698357
7.05,0.1232980523,0.1198698357
7.06,0.123263941,0.1198698357
7.07,0.1232301691,0.1198698357
7.08,0.1231967332,0.1198698357
7.09,0.12316363,0.1198698357
7.1,0.1231308562,0.1198698357
7.11,0.1230976033,0.1197889075
7.12,0.1230646812,0.1197889075
7.13,0.1230320867,0.1197889075
7.14,0.1229998166,0.1197889075
7.15,0.1229678675,0.1197889075
7.16,0.1229362363,0.1197889075
7.17,0.1229049198,0.1197889075
7.18,0.122873915,0.1197889075
7.19,0.1228432187,0.1197889075
7.2,0.1228128278,0.1197889075
7.21,0.1227819926,0.1197138652
7.22,0.1227514642,0.1197138652
7.23,0.1227212396,0.1197138652
7.24,0.1226913157,0.1197138652
7.25,0.1226616896,0.1197138652
7.26,0.1226323582,0.1197138652
7.27,0.1226033188,0.1197138652
7.28,0.1225745682,0.1197138652
7.29,0.1225461037,0.1197138652
7.3,0.1225179225,0.1197138652
7.31,0.1224893295,0.1196442991
7.32,0.122461021,0.1196442991
7.33,0.1224329941,0.1196442991
7.34,0.1224052461,0.1196442991
7.35,0.1223777742,0.1196442991
7.36,0.1223505757,0.1196442991
7.37,0.1223236478,0.1196442991
7.38,0.1222969878,0.1196442991
7.39,0.1222705932,0.1196442991
7.4,0.1222444611,0.1196442991
7.41,0.1222179469,0.1195797622
7.42,0.1221916965,0.1195797622
7.43,0.1221657074,0.1195797622
7.44,0.1221399768,0.1195797622
7.45,0.1221145022,0.1195797622
7.46,0.1220892811,0.1195797622
7.47,0.122064311,0.1195797622
7.48,0.1220395893,0.1195797622
7.49,0.1220151136,0.1195797622
7.5,0.1219908815,0.1195797622
7.51,0.121966295,0.1195199192
7.52,0.1219419532,0.1195199192
7.53,0.1219178535,0.1195199192
7.54,0.1218939937,0.1195199192
7.55,0.1218703712,0.1195199192
7.56,0.1218469838,0.1195199192
