time,amp_i,speed_w_rel
8.36,1.756607613,208.8174235
8.37,1.752664078,208.8842697
8.38,1.74873255,208.9509124
8.39,1.744812991,209.0173521
8.4,1.740905366,209.0835895
8.41,1.737009637,209.1496252
8.42,1.733125769,209.2154599
8.43,1.729253726,209.281094
8.44,1.725393472,209.3465284
8.45,1.721544971,209.4117634
8.46,1.717708186,209.4767998
8.47,1.713883083,209.5416382
8.48,1.710069627,209.6062791
8.49,1.70626778,209.6707232
8.5,1.702477509,209.7349711
8.51,1.698698778,209.7990233
8.52,1.694931551,209.8628805
8.53,1.691175795,209.9265432
8.54,1.687431473,209.9900121
8.55,1.683698552,210.0532877
8.56,1.679976996,210.1163706
8.57,1.676266771,210.1792614
8.58,1.672567843,210.2419607
8.59,1.668880177,210.3044691
8.6,1.665203738,210.3667872
8.61,1.661538493,210.4289154
8.62,1.657884408,210.4908545
8.63,1.654241448,210.552605
8.64,1.65060958,210.6141675
8.65,1.646988771,210.6755425
8.66,1.643378985,210.7367306
8.67,1.639780191,210.7977323
8.68,1.636192354,210.8585483
8.69,1.632615441,210.9191792
8.7,1.629049418,210.9796254
8.71,1.625494254,211.0398875
8.72,1.621949914,211.0999661
